SKU,Danh mục,Danh mục con,Tên sản phẩm,Thông số kỹ thuật,Xuất xứ,Giá (VNĐ)
PLY-0001,Puly truyền động,Puly 1B,Puly 1B Đặc Ø60mm,Đường kính: 60mm | Loại: 1B Đặc,,45000
PLY-0002,Puly truyền động,Puly 2B,Puly 2B Đặc Ø60mm,Đường kính: 60mm | Loại: 2B Đặc,,60000
PLY-0003,Puly truyền động,Puly 1B,Puly 1B Đặc Ø70mm,Đường kính: 70mm | Loại: 1B Đặc,,50000
PLY-0004,Puly truyền động,Puly 2B,Puly 2B Đặc Ø70mm,Đường kính: 70mm | Loại: 2B Đặc,,70000
PLY-0005,Puly truyền động,Puly 3B,Puly 3B Đặc Ø70mm,Đường kính: 70mm | Loại: 3B Đặc,,110000
PLY-0006,Puly truyền động,Puly 1B,Puly 1B Đặc Ø80mm,Đường kính: 80mm | Loại: 1B Đặc,,55000
PLY-0007,Puly truyền động,Puly 2B,Puly 2B Đặc Ø80mm,Đường kính: 80mm | Loại: 2B Đặc,,90000
PLY-0008,Puly truyền động,Puly 2B,Puly 2B Dày Ø80mm,Đường kính: 80mm | Loại: 2B Dày,,70000
PLY-0009,Puly truyền động,Puly 3B,Puly 3B Đặc Ø80mm,Đường kính: 80mm | Loại: 3B Đặc,,130000
PLY-0010,Puly truyền động,Puly 1B,Puly 1B Đặc Ø90mm,Đường kính: 90mm | Loại: 1B Đặc,,70000
PLY-0011,Puly truyền động,Puly 2B,Puly 2B Đặc Ø90mm,Đường kính: 90mm | Loại: 2B Đặc,,100000
PLY-0012,Puly truyền động,Puly 2B,Puly 2B Dày Ø90mm,Đường kính: 90mm | Loại: 2B Dày,,90000
PLY-0013,Puly truyền động,Puly 3B,Puly 3B Đặc Ø90mm,Đường kính: 90mm | Loại: 3B Đặc,,140000
PLY-0014,Puly truyền động,Puly 1B,Puly 1B Đặc Ø100mm,Đường kính: 100mm | Loại: 1B Đặc,,80000
PLY-0015,Puly truyền động,Puly 2B,Puly 2B Đặc Ø100mm,Đường kính: 100mm | Loại: 2B Đặc,,125000
PLY-0016,Puly truyền động,Puly 2B,Puly 2B Dày Ø100mm,Đường kính: 100mm | Loại: 2B Dày,,100000
PLY-0017,Puly truyền động,Puly 3B,Puly 3B Đặc Ø100mm,Đường kính: 100mm | Loại: 3B Đặc,,170000
PLY-0018,Puly truyền động,Puly 4B,Puly 4B Ø100mm,Đường kính: 100mm | Loại: 4B,,305000
PLY-0019,Puly truyền động,Puly 1B,Puly 1B Đặc Ø110mm,Đường kính: 110mm | Loại: 1B Đặc,,90000
PLY-0020,Puly truyền động,Puly 2B,Puly 2B Đặc Ø110mm,Đường kính: 110mm | Loại: 2B Đặc,,155000
PLY-0021,Puly truyền động,Puly 2B,Puly 2B Dày Ø110mm,Đường kính: 110mm | Loại: 2B Dày,,110000
PLY-0022,Puly truyền động,Puly 3B,Puly 3B Đặc Ø110mm,Đường kính: 110mm | Loại: 3B Đặc,,210000
PLY-0023,Puly truyền động,Puly 1B,Puly 1B Đặc Ø120mm,Đường kính: 120mm | Loại: 1B Đặc,,100000
PLY-0024,Puly truyền động,Puly 1B,Puly 1B Mỏng Ø120mm,Đường kính: 120mm | Loại: 1B Mỏng,,75000
PLY-0025,Puly truyền động,Puly 2B,Puly 2B Đặc Ø120mm,Đường kính: 120mm | Loại: 2B Đặc,,175000
